spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarker,MarkerName,CrossSpp,n,Repeat,He,Hese,Notes
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,UK,IS3,52.3,,,-4.2725,,,2005,14,,0,99,2,0.729,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,Irish Sea near the UK,IS4,53.7446,,,-4.1828,,,2007,14,,0,50,2,0.71,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,Irish Sea near the UK,IS5,53.472,,,-3.6985,,,2007,14,,0,183,2,0.732,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,Irish Sea near the UK,IS6,54.5118,,,-3.7938,,,2008,14,,0,96,2,0.727,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,Ireland,IS7,54.0801,,,-5.6215,,,2006,14,,0,64,2,0.74,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,North Atlantic Ocean,AT1,55.868,,,-7.4541,,,2006,14,,0,96,2,0.726,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,North Atlantic Ocean near Ireland,AT2,51.1135,,,-11.2476,,,2006,14,,0,48,2,0.724,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Celtic Sea,49.35,,,-7.52,,,2010-2011,1,SACA GA11,0,76,2,0.69,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Celtic Sea,49.35,,,-7.52,,,2010-2011,1,DF J451,0,75,2,0.61,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Celtic Sea,49.35,,,-7.52,,,2010-2011,1,DF U285,0,76,2,0.77,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Celtic Sea,49.35,,,-7.52,,,2010-2011,1,DF J445,0,75,2,0.62,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Celtic Sea,49.35,,,-7.52,,,2010-2011,1,SACA 3853,0,73,2,0.88,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Celtic Sea,49.35,,,-7.52,,,2010-2011,1,SACA 6396,0,76,2,0.6,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Etive,56.46,,,-5.34,,,2010-2013,1,SACA GA11,0,68,2,0.66,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Etive,56.46,,,-5.34,,,2010-2013,1,DF J451,0,69,2,0.6,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Etive,56.46,,,-5.34,,,2010-2013,1,DF U285,0,69,2,0.73,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Etive,56.46,,,-5.34,,,2010-2013,1,DF J445,0,67,2,0.63,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Etive,56.46,,,-5.34,,,2010-2013,1,SACA 3853,0,67,2,0.91,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Etive,56.46,,,-5.34,,,2010-2013,1,SACA 6396,0,68,2,0.57,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Sound of Jura,55.61,,,-5.9,,,2011-2012,1,SACA GA11,0,28,2,0.76,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Sound of Jura,55.61,,,-5.9,,,2011-2012,1,DF J451,0,31,2,0.6,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Sound of Jura,55.61,,,-5.9,,,2011-2012,1,DF U285,0,31,2,0.71,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Sound of Jura,55.61,,,-5.9,,,2011-2012,1,DF J445,0,30,2,0.63,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Sound of Jura,55.61,,,-5.9,,,2011-2012,1,SACA 3853,0,30,2,0.89,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Sound of Jura,55.61,,,-5.9,,,2011-2012,1,SACA 6396,0,31,2,0.56,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Southern North Sea,52.34,,,2.35,,,2013,1,SACA GA11,0,48,2,0.71,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Southern North Sea,52.34,,,2.35,,,2013,1,DF J451,0,45,2,0.68,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Southern North Sea,52.34,,,2.35,,,2013,1,DF U285,0,48,2,0.79,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Southern North Sea,52.34,,,2.35,,,2013,1,DF J445,0,46,2,0.57,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Southern North Sea,52.34,,,2.35,,,2013,1,SACA 3853,0,46,2,0.88,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Southern North Sea,52.34,,,2.35,,,2013,1,SACA 6396,0,48,2,0.61,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,North Scotland,58.42,,,-5.33,,,2012,1,SACA GA11,0,13,2,0.72,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,North Scotland,58.42,,,-5.33,,,2012,1,DF J451,0,13,2,0.7,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,North Scotland,58.42,,,-5.33,,,2012,1,DF U285,0,13,2,0.86,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,North Scotland,58.42,,,-5.33,,,2012,1,DF J445,0,13,2,0.68,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,North Scotland,58.42,,,-5.33,,,2012,1,SACA 3853,0,13,2,0.9,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,North Scotland,58.42,,,-5.33,,,2012,1,SACA 6396,0,13,2,0.6,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Rockall,57.55,,,-14.15,,,2011-2012,1,SACA GA11,0,8,2,0.6,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Rockall,57.55,,,-14.15,,,2011-2012,1,DF J451,0,7,2,0.72,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Rockall,57.55,,,-14.15,,,2011-2012,1,DF U285,0,8,2,0.73,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Rockall,57.55,,,-14.15,,,2011-2012,1,DF J445,0,8,2,0.66,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Rockall,57.55,,,-14.15,,,2011-2012,1,SACA 3853,0,8,2,0.82,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,,Rockall,57.55,,,-14.15,,,2011-2012,1,SACA 6396,0,8,2,0.58,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Sunart,56.7,,,-5.75,,,2011-2012,1,SACA GA11,0,33,2,0.67,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Sunart,56.7,,,-5.75,,,2011-2012,1,DF J451,0,33,2,0.61,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Sunart,56.7,,,-5.75,,,2011-2012,1,DF U285,0,33,2,0.73,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Sunart,56.7,,,-5.75,,,2011-2012,1,DF J445,0,32,2,0.64,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Sunart,56.7,,,-5.75,,,2011-2012,1,SACA 3853,0,32,2,0.88,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Scotland,Loch Sunart,56.7,,,-5.75,,,2011-2012,1,SACA 6396,0,32,2,0.53,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Wales,Irish Sea,53.3,,,-4.75,,,2011,1,SACA GA11,0,17,2,0.71,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Wales,Irish Sea,53.3,,,-4.75,,,2011,1,DF J451,0,17,2,0.63,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Wales,Irish Sea,53.3,,,-4.75,,,2011,1,DF J445,0,17,2,0.61,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Wales,Irish Sea,53.3,,,-4.75,,,2011,1,SACA 3853,0,17,2,0.79,,Data includes FS relationship
Squalus acanthias,Picked dogfish,James Thorburn et al. (2018) Aquatic Conserv: Mar Freshw Ecosyst. 28:1167–1180.,0,Wales,Irish Sea,53.3,,,-4.75,,,2011,1,SACA 6396,0,17,2,0.58,,Data includes FS relationship
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,USA,Bering Sea,56,5,4.6,-173,2,5.13,2007,1,Afi32A,0,55,2,0.92,,
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,USA,Bering Sea,56,5,4.6,-173,2,5.13,2007,1,AfiP3A,0,56,2,0.93,,
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,USA,Gulf of Alaska,54,5,4.6,-134,0,0.66,2007,1,Afi32A,0,49,2,0.92,,
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,USA,Gulf of Alaska,54,5,4.6,-134,0,0.66,2007,1,AfiP3A,0,60,2,0.89,,
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,USA,Oregon,45,50,8,-124,48,6,2006,1,Afi32A,0,24,2,0.88,,
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,USA,Oregon,45,50,8,-124,48,6,2006,1,AfiP3A,0,31,2,0.89,,
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,Mexico,San Quintin,30,26,30,-116,25,51,2006,1,Afi32A,0,27,2,0.87,,
Anoplopoma fimbria ,Sablefish,M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516–523,0,Mexico,San Quintin,30,26,30,-116,25,51,2006,1,AfiP3A,0,25,2,0.9,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB25,0,24,2,0.895,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB31,0,24,2,0.488,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB33,0,24,2,0.926,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB9,0,24,2,0.726,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB30,0,24,2,0.919,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB37,0,24,2,0.89,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB46,0,24,2,0.784,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3L65,46,51.8,,-47,16.6,,2001,1,SEB45,0,24,2,0.677,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB25,0,32,2,0.874,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB31,0,32,2,0.424,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB33,0,32,2,0.916,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB9,0,32,2,0.669,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB30,0,32,2,0.902,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB37,0,32,2,0.9,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB46,0,32,2,0.815,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3N23,42,47.5,,-50,22.2,,2001,1,SEB45,0,32,2,0.663,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB25,0,32,2,0.837,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB31,0,32,2,0.479,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB33,0,32,2,0.826,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB9,0,32,2,0.687,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB30,0,32,2,0.941,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB37,0,32,2,0.9,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB46,0,32,2,0.807,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3O44,44,11.6,,-52,56,,2001,1,SEB45,0,32,2,0.63,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB25,0,32,2,0.867,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB31,0,32,2,0.56,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB33,0,32,2,0.914,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB9,0,32,2,0.752,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB30,0,32,2,0.916,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB37,0,32,2,0.907,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB46,0,32,2,0.783,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS1,45,8.2,,-55,10.2,,2002,1,SEB45,0,32,2,0.686,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB25,0,32,2,0.878,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB31,0,32,2,0.52,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB33,0,32,2,0.89,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB9,0,32,2,0.688,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB30,0,32,2,0.927,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB37,0,32,2,0.883,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB46,0,32,2,0.785,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS138,44,51.9,,-56,1.8,,2002,1,SEB45,0,32,2,0.626,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS26,44,52.2,,-56,14.4,,2002,1,SEB25,0,32,2,0.882,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS26,44,52.2,,-56,14.4,,2002,1,SEB31,0,32,2,0.488,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS26,44,52.2,,-56,14.4,,2002,1,SEB33,0,32,2,0.893,,
Sebastes fasciatus,Acadian redfish,Alexandra E. Valentin et al. (2014) Fisheries Research 154: 102–119,0,Canada,3PS26,44,52.2,,-56,14.4,,2002,1,SEB9,0,32,2,0.702,,
