spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra5,0,60,2,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra6,0,60,2,0.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra7,0,60,2,0.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra12,0,60,2,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Morehead City, NC",34.366109,,,-76.310353,,,1996,1,Ra1,0,93,2,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Carolina Beach, NC",33.644187,,,-77.43213,,,1996,1,Ra1,0,108,2,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Mt. Pleasant, SC",32.228042,,,-79.167365,,,1996,1,Ra1,0,100,2,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"St. Augustine, FL",30.127955,,,-80.966695,,,1996,1,Ra1,0,100,2,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Orange Beach, AL",29.486205,,,-87.740963,,,1996,1,Ra1,0,100,2,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Morehead City, NC",34.366109,,,-76.310353,,,1996,1,Ra2,0,93,2,0.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Carolina Beach, NC",33.644187,,,-77.43213,,,1996,1,Ra2,0,108,2,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Mt. Pleasant, SC",32.228042,,,-79.167365,,,1996,1,Ra2,0,100,2,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"St. Augustine, FL",30.127955,,,-80.966695,,,1996,1,Ra2,0,100,2,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Orange Beach, AL",29.486205,,,-87.740963,,,1996,1,Ra2,0,100,2,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Morehead City, NC",34.366109,,,-76.310353,,,1996,1,Ra3,0,93,2,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Carolina Beach, NC",33.644187,,,-77.43213,,,1996,1,Ra3,0,108,2,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Mt. Pleasant, SC",32.228042,,,-79.167365,,,1996,1,Ra3,0,100,2,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"St. Augustine, FL",30.127955,,,-80.966695,,,1996,1,Ra3,0,100,2,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Orange Beach, AL",29.486205,,,-87.740963,,,1996,1,Ra3,0,100,2,0.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Morehead City, NC",34.366109,,,-76.310353,,,1996,1,Ra5,0,93,2,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Carolina Beach, NC",33.644187,,,-77.43213,,,1996,1,Ra5,0,108,2,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Mt. Pleasant, SC",32.228042,,,-79.167365,,,1996,1,Ra5,0,100,2,0.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"St. Augustine, FL",30.127955,,,-80.966695,,,1996,1,Ra5,0,100,2,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Orange Beach, AL",29.486205,,,-87.740963,,,1996,1,Ra5,0,100,2,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Morehead City, NC",34.366109,,,-76.310353,,,1996,1,Ra6,0,93,2,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Carolina Beach, NC",33.644187,,,-77.43213,,,1996,1,Ra6,0,107,2,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Mt. Pleasant, SC",32.228042,,,-79.167365,,,1996,1,Ra6,0,100,2,0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"St. Augustine, FL",30.127955,,,-80.966695,,,1996,1,Ra6,0,100,2,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Orange Beach, AL",29.486205,,,-87.740963,,,1996,1,Ra6,0,100,2,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Morehead City, NC",34.366109,,,-76.310353,,,1996,1,Ra7,0,93,2,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Carolina Beach, NC",33.644187,,,-77.43213,,,1996,1,Ra7,0,107,2,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Mt. Pleasant, SC",32.228042,,,-79.167365,,,1996,1,Ra7,0,100,2,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"St. Augustine, FL",30.127955,,,-80.966695,,,1996,1,Ra7,0,100,2,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Orange Beach, AL",29.486205,,,-87.740963,,,1996,1,Ra7,0,100,2,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Morehead City, NC",34.366109,,,-76.310353,,,1996,1,Ra11,0,93,2,0.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Carolina Beach, NC",33.644187,,,-77.43213,,,1996,1,Ra11,0,107,2,0.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Mt. Pleasant, SC",32.228042,,,-79.167365,,,1996,1,Ra11,0,100,2,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"St. Augustine, FL",30.127955,,,-80.966695,,,1996,1,Ra11,0,100,2,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley et al. 1999 Marine Biology 134:609-620,0,USA,"Orange Beach, AL",29.486205,,,-87.740963,,,1996,1,Ra11,0,100,2,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,Ghar el Melh,37.128674,,,10.257121,,,1997,6,all_loci,0,16,2,0.85,0.044907312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,Ghar el Melh lagoon,37.148379,,,10.178844,,,1997,6,all_loci,0,7,2,0.83,0.032659863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,Bizerte lagoon,37.194704,,,9.862073,,,1997,6,all_loci,0,54,2,0.86,0.032659863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,La Goulette,36.815481,,,10.321242,,,1997,6,all_loci,0,32,2,0.83,0.048989795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,Northern Tunis lagoon,36.815637,,,10.24945,,,1997,6,all_loci,0,32,2,0.82,0.040824829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,Sfax,34.706917,,,10.815997,,,1996,6,all_loci,0,11,2,0.89,0.020412415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,Mahdia,35.510881,,,11.089286,,,1996,6,all_loci,0,29,2,0.85,0.024494897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,Kerkennah Islands,34.681683,,,11.227357,,,1997,6,all_loci,0,30,2,0.87,0.020412415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Tunisia,El Biban lagoon,33.319077,,,11.346252,,,1996,6,all_loci,0,63,2,0.86,0.036742346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Italy,Venezia lagoon,45.470277,,,12.378653,,,,6,all_loci,0,5,2,0.8,0.061237244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Greece,Messolonghi,38.314476,,,21.389782,,,,6,all_loci,0,33,2,0.78,0.053072278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Greece,Thessaloniki,40.596692,,,22.890323,,,1997,6,all_loci,0,30,2,0.82,0.061237244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Bahri-Sfar et al. 2000 Proceedings of the Royal Society B 267:929-935,0,Greece,Crete,35.577366,,,24.823936,,,,6,all_loci,0,6,2,0.72,0.077567175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,Spain,Valencia,39.446769,,,-0.25079,,,1994,1,Labrax-3,0,37,2,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,Spain,Valencia,39.446769,,,-0.25079,,,1994,1,Labrax-6,0,37,2,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,Spain,Valencia,39.446769,,,-0.25079,,,1994,1,Labrax-8,0,37,2,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,Spain,Valencia,39.446769,,,-0.25079,,,1994,1,Labrax-13,0,37,2,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,Spain,Valencia,39.446769,,,-0.25079,,,1994,1,Labrax-17,0,37,2,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,Spain,Valencia,39.446769,,,-0.25079,,,1994,1,Labrax-29,0,37,2,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Eastern Rhone,43.277607,,,4.982627,,,1994,1,Labrax-3,0,50,2,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Eastern Rhone,43.277607,,,4.982627,,,1994,1,Labrax-6,0,50,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Eastern Rhone,43.277607,,,4.982627,,,1994,1,Labrax-8,0,50,2,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Eastern Rhone,43.277607,,,4.982627,,,1994,1,Labrax-13,0,50,2,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Eastern Rhone,43.277607,,,4.982627,,,1994,1,Labrax-17,0,50,2,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Eastern Rhone,43.277607,,,4.982627,,,1994,1,Labrax-29,0,50,2,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Grau-du-Roi,43.48551,,,4.081612,,,1994,1,Labrax-3,0,50,2,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax ,European seabass,Garcia de Leon et al. 1997 Molecular Ecology 6:51-62,0,France,Grau-du-Roi,43.48551,,,4.081612,,,1994,1,Labrax-6,0,50,2,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
