"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength"
"12","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Northern Gulf of Mexico",29.229,-84,NA,"1998-2000","control region",54,"890",0.999,NA,0.055,NA,"mtdna101",250
"13","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Southern tip of Florida",25.205,-76,NA,"2000/2001","control region",21,"890",0.995,NA,0.049,NA,"mtdna101",250
"14","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","USA","Central Pacific Ocean off Hawaiian Islands",22,-158,NA,"2000","control region",40,"890",1,NA,0.055,NA,"mtdna101",250
"15","Acanthopagrus schlegelii","Blackhead seabream","Jean et al. 1998","Taiwan","Fulung",25.066,121.133333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",7,"717",0.8792,NA,0.00381,NA,"mtdna101",50
"16","Acanthopagrus schlegelii","Blackhead seabream","Jean et al. 1998","Taiwan","Matsu",26.164,120,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00399,NA,"mtdna101",50
"17","Acanthopagrus schlegelii","Blackhead seabream","Jean et al. 1998","Taiwan","Penghu",23.554,119.083333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00269,NA,"mtdna101",50
"18","Acanthopagrus schlegelii","Blackhead seabream","Jean et al. 1998","Taiwan","Taihsi",23.655,120.033333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.8485,NA,0.00232,NA,"mtdna101",50
"19","Acanthopagrus schlegelii","Blackhead seabream","Jean et al. 1998","Taiwan","Tanshui",25.165,121.033333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00232,NA,"mtdna101",50
"20","Acanthopagrus schlegelii","Blackhead seabream","Jean et al. 1998","Taiwan","Tungkang",22.447,120.1,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.7879,NA,0.00316,NA,"mtdna101",50
"21","Acanthopagrus schlegelii","Blackhead seabream","Jean et al. 1998","Taiwan","Wuchi",24.187,120.1,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.8485,NA,0.00274,NA,"mtdna101",50
"22","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Costa Rica","Cocos Islands",5.08361111111111,87.0019444444444,NA,"2008","cytb",32,"694",0.88,0.00707,0.003,0.000336,"mtdna101",21
"23","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","French Polynesia","Moorea",-17.0841666666667,149.134166666667,NA,"2008","cytb",31,"694",0.78,0.0144,0.003,0.000341,"mtdna101",21
"24","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Christmas Island",-10.0688888888889,105.100833333333,NA,"2008","cytb",51,"694",0.85,0.0042,0.0025,0.000224,"mtdna101",21
"25","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Diego Garcia",-7.05027777777778,72.0669444444444,NA,"2008","cytb",32,"694",0.85,0.00884,0.003,0.000301,"mtdna101",21
"26","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Seychelles",-4.10027777777778,55.0680555555556,NA,"2008","cytb",32,"694",0.72,0.0124,0.0017,0.000212,"mtdna101",21
"27","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Pacific Ocean","Kiritimati",1.135,-157.066666666667,NA,"2008","cytb",35,"694",0.89,0.00676,0.0032,0.000338,"mtdna101",21
"28","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","South Pacific Ocean","Fiji",-18,179,NA,"2008","cytb",30,"694",0.91,0.00548,0.0031,0.000365,"mtdna101",21
"29","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","French Frigate Shoals",23.1177777777778,-166.017777777778,NA,"2006","cytb",33,"694",0.72,0.0139,0.0021,0.000226,"mtdna101",21
"30","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Gardner Pinnacles",24.1525,-167.1525,NA,"2006","cytb",25,"694",0.72,0.016,0.0021,0.00028,"mtdna101",21
"31","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Hawaii Island",19.085,-155.083333333333,NA,"2006","cytb",33,"694",0.65,0.0157,0.0022,0.000261,"mtdna101",21
"32","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Kauai",22.0022222222222,-159.083333333333,NA,"2006","cytb",26,"694",0.81,0.0118,0.0023,0.000294,"mtdna101",21
"33","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Maui",20.1333333333333,-156.050833333333,NA,"2006","cytb",36,"694",0.77,0.01,0.003,3e-04,"mtdna101",21
"34","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Molokai",21.0175,-157.000833333333,NA,"2006","cytb",29,"694",0.71,0.0149,0.0024,0.000297,"mtdna101",21
"35","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Nihoa",23.0016666666667,-161.150555555556,NA,"2006","cytb",40,"694",0.73,0.00949,0.0026,0.000253,"mtdna101",21
"36","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Oahu",21.0683333333333,-157.152222222222,NA,"2006","cytb",39,"694",0.7,0.0112,0.0019,0.000208,"mtdna101",21
"37","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Pearl & Hermes Reef",27.1333333333333,-175.134722222222,NA,"2006","cytb",20,"694",0.87,0.0134,0.0045,0.000604,"mtdna101",21
"38","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Western Pacific Ocean","Palau",7.05138888888889,134.068333333333,NA,"2008","cytb",36,"694",0.9,0.005,0.0028,3e-04,"mtdna101",21
"39","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","American Samoa",-14.05,-170,NA,"2007","cytb",23,"797",0.94,0.00709,0.0054,0.000646,"mtdna101",25
"40","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Line Islands",-2,-156.083333333333,NA,"2007","cytb",24,"797",0.95,0.00592,0.0053,0.000633,"mtdna101",25
"41","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Marshall Islands",7.00166666666667,-171.035,NA,"2007","cytb",19,"797",1,0.0039,0.0065,0.000849,"mtdna101",25
"42","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Society Islands",-17.0841666666667,-149.134166666667,NA,"2007","cytb",32,"797",0.98,0.00212,0.0073,0.000707,"mtdna101",25
"43","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","French Frigate Shoals",23.1177777777778,-166.017777777778,NA,"2007","cytb",33,"797",0.42,0.0174,0.00064,0.000108,"mtdna101",25
"44","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Gardner Pinnacles",24.1525,-167.1525,NA,"2007","cytb",27,"797",0.57,0.0117,8e-04,0.000139,"mtdna101",25
"45","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Hawaii, Big Island",19.085,-155.083333333333,NA,"2007","cytb",32,"797",0.66,0.015,0.0012,0.000166,"mtdna101",25
"46","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Johnston Atoll",16.1180555555556,-169.083611111111,NA,"2007","cytb",34,"797",0.22,0.016,0.00037,7.6e-05,"mtdna101",25
"47","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kauai",22.0022222222222,-159.083333333333,NA,"2007","cytb",34,"797",0.27,0.0158,4e-04,8e-05,"mtdna101",25
"48","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kure Atoll",28.0669444444444,-178.050833333333,NA,"2007","cytb",41,"797",0.31,0.0145,0.00054,8.8e-05,"mtdna101",25
"49","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Laysan Island",25.1183333333333,-171.1175,NA,"2007","cytb",46,"797",0.58,0.069,0.00086,0.00074,"mtdna101",25
"50","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Lisianski Island",26.0016666666667,-173.151666666667,NA,"2007","cytb",39,"797",0.58,0.0131,0.001,0.000133,"mtdna101",25
"51","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Maro Reef",25.0669444444444,-170.085833333333,NA,"2007","cytb",35,"797",0.62,0.108,0.00095,0.000135,"mtdna101",25
"52","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Midway Island",28.0333333333333,-177.051388888889,NA,"2007","cytb",30,"797",0.58,0.0146,0.00097,0.000148,"mtdna101",25
"53","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Nihoa",23.0016666666667,-161.150555555556,NA,"2007","cytb",32,"797",0.63,0.0161,0.00086,0.000133,"mtdna101",25
"54","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Oahu",21.0683333333333,-157.152222222222,NA,"2007","cytb",29,"797",0.54,0.0173,0.00082,0.000136,"mtdna101",25
"55","Acanthurus nigroris","Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Pearl & Hermes Reef",27.1333333333333,-175.134722222222,NA,"2007","cytb",29,"797",0.64,0.0106,0.00096,0.00015,"mtdna101",25
"56","Acanthurus triostegus","Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Kenya","Kiunga",-1.746577,41.49137,NA,"2015","ATPase 6, 8",9,"842",0.92,NA,0.006,NA,"mtdna102",27
"57","Acanthurus triostegus","Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Kenya","Mobasa",-4.067377,39.702996,NA,"2015","ATPase 6, 8",6,"842",1,NA,0.008,NA,"mtdna102",27
"58","Acanthurus triostegus","Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Madagascar","Anakao",-23.655027,43.641767,NA,"2015","ATPase 6, 8",9,"842",0.89,NA,0.005,NA,"mtdna102",27
"59","Acanthurus triostegus","Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Tanzania","Dar Es Salaam",-6.749797,39.300974,NA,"2015","ATPase 6, 8",7,"842",1,NA,0.009,NA,"mtdna102",27
"60","Acanthurus triostegus","Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Tanzania","Mtwara",-10.255964,40.162882,NA,"2015","ATPase 6, 8",4,"842",1,NA,0.005,NA,"mtdna102",27
"61","Aetobatus narinari","Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","Cuba","Cuba",21.651703,-83.102581,NA,"2013","cytb",19,"580",0.561,NA,0.0024,NA,"mtdna102",330
"62","Aetobatus narinari","Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","Mexico","Mexico",19.53495,-92.177222,NA,"2009-2013","cytb",96,"580",0.536,NA,0.0022,NA,"mtdna102",330
"63","Aetobatus narinari","Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","USA","Florida",27.344437,-82.567594,NA,"2009-2011","cytb",169,"580",0.71,NA,0.0024,NA,"mtdna102",330
"64","Alopias vulpinus","Thresher","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","ND2",11,"990",0.182,0.144,2e-04,3e-04,"mtdna103",573.3
"65","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Central North Sea",56.13,4.81,NA,"2003","cytb",11,"290",0.473,NA,0.0018,NA,"mtdna101",105
"66","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Kattegat",57.5,10.35,NA,"2003","cytb",22,"290",0.789,NA,0.006,NA,"mtdna101",105
"67","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Off Haugesund",59.37,2.92,NA,"2003","cytb",15,"290",0.771,NA,0.0039,NA,"mtdna101",105
"68","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Eyjafjordur",66.16,-18.43,NA,"2004","cytb",19,"290",0.784,NA,0.0038,NA,"mtdna101",105
"69","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Hunafloi",65.57,-21.08,NA,"2004","cytb",27,"290",0.738,NA,0.0047,NA,"mtdna101",105
"70","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Isafjardarjup",66.28,-23.2,NA,"2003","cytb",17,"290",0.75,NA,0.003,NA,"mtdna101",105
"71","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off bistlfjordur",66.91,-13.48,NA,"2003","cytb",24,"290",0.916,NA,0.0071,NA,"mtdna101",105
"72","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Bjargtangar 1",65.74,-27.4,NA,"2003","cytb",32,"290",0.802,NA,0.055,NA,"mtdna101",105
"73","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Bjargtangar 2",65.67,-27.56,NA,"2003","cytb",22,"290",0.749,NA,0.006,NA,"mtdna101",105
"74","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Hofn",63.91,-12.53,NA,"2003","cytb",17,"290",0.806,NA,0.0036,NA,"mtdna101",105
"75","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Oxafjordur",66.28,-16.28,NA,"2004","cytb",20,"290",0.916,NA,0.0071,NA,"mtdna101",105
"76","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Skagafjordur",65.94,-16.79,NA,"2004","cytb",19,"290",0.784,NA,0.0058,NA,"mtdna101",105
"77","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Skjalfandi",66.14,-17.54,NA,"2004","cytb",25,"290",0.743,NA,0.0056,NA,"mtdna101",105
"78","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Newfoundland","Newfoundland",46.07,-47.37,NA,"2004","cytb",30,"290",0.834,NA,0.007,NA,"mtdna101",105
"79","Ammodytes personatus","Pacific sandlance","Kim Park Kim 2006","South Korea","Jumunjin, East Sea",37.979,128.8893,NA,"2005","control region",24,"750",1,0.0245,0.0255,0.00267,"mtdna101",15
"80","Ammodytes personatus","Pacific sandlance","Kim Park Kim 2006","South Korea","Jumunjin, East Sea",37.979,128.8893,NA,"2005","16S",29,"587",0.32,0.020797878,0.0012,0.000185695,"mtdna102",15
"81","Ammodytes personatus","Pacific sandlance","Kim Park Kim 2006","South Korea","Sangju, South Sea",34.814,128.285453,NA,"2005","control region",25,"750",0.99,0.0028,0.0097,0.00106,"mtdna101",15
"82","Ammodytes personatus","Pacific sandlance","Kim Park Kim 2006","South Korea","Sangju, South Sea",34.814,128.285453,NA,"2005","16S",28,"587",0.444,0.022299904,9e-04,0.000170084,"mtdna102",15
"83","Ammodytes personatus","Pacific sandlance","Kim Park Kim 2006","South Korea","Taean, West Sea",36.756,125.995612,NA,"2005","control region",24,"750",1,0.0245,0.0099,0.00106,"mtdna101",15
"84","Ammodytes personatus","Pacific sandlance","Kim Park Kim 2006","South Korea","Taean, West Sea",36.756,125.995612,NA,"2005","16S",30,"587",0.467,0.020448309,0.0011,0.000182574,"mtdna102",15
"85","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","China","Dalian",38.939716,121.63307,NA,"2009","ATP6",21,"644",0.9714,0.006546537,0.0054,0.000698297,"mtdna102",15
"86","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","China","Qingdao",36.033363,120.436729,NA,"2015","ATP6",30,"644",0.9701,0.003560197,0.0057,0.000602495,"mtdna102",15
"87","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Aichi Prefecture",34.750935,137.191387,NA,"2005","ATP6",24,"644",0.9819,0.003755884,0.0058,0.000694022,"mtdna102",15
"88","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Aomori Prefecture",40.931241,140.787853,NA,"2009","ATP6",24,"644",0.9783,0.00481733,NA,NA,"mtdna102",15
"89","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Cape Soya",45.523053,141.936058,NA,"2005","ATP6",21,"644",0.9952,0.003600595,NA,NA,"mtdna102",15
"90","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Fukuoka",33.624171,130.357348,NA,"2005","ATP6",21,"644",0.981,0.004909903,0.0068,0.00085105,"mtdna102",15
"91","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Sendai Bay",38.034484,141.046457,NA,"2006","ATP6",22,"644",0.987,0.003731013,NA,NA,"mtdna102",15
"92","Ammodytes personatus","Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Seto Naikai",34.132318,133.245432,NA,"2005","ATP6",22,"644",0.974,0.00588434,0.0062,0.000767523,"mtdna102",15
"93","Amphiprion akallopisos","Skunk clownfish","Huyghe & Kochzius 2018 PLoS ONE 13:e0193825","Mozambique","Nacala",-14.555969,40.667823,NA,"","control region",31,"337",0.503,NA,0.0027,NA,"mtdna102",11
"94","Amphiprion akallopisos","Skunk clownfish","Huyghe & Kochzius 2018 PLoS ONE 13:e0193825","Mozambique","Pemba",-12.974445,40.499531,NA,"","control region",35,"337",0.77,NA,0.0064,NA,"mtdna102",11
"95","Amphiprion akallopisos","Skunk clownfish","Huyghe & Kochzius 2018 PLoS ONE 13:e0193825","Mozambique","Tofo",-23.852385,35.546061,NA,"","control region",8,"337",0.25,NA,8e-04,NA,"mtdna102",11
"96","Amphiprion latezonatus","Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","Lord Howe Island",-31.546103,159.083156,NA,"","D-loop",33,"316",0.742,0.01271,0.00612,0.00069,"mtdna102",14
"97","Amphiprion latezonatus","Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","Norfolk Island",-29.03932,167.943606,NA,"","D-loop",31,"316",0.703,0.01652,0.00444,0.00056,"mtdna102",14
"98","Amphiprion latezonatus","Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","North Solitary Island",-29.91934,153.392455,NA,"","D-loop",34,"316",0.75,0.01372,0.00463,0.00055,"mtdna102",14
"99","Amphiprion latezonatus","Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","Sunshine Coast",-26.411,153.1487,NA,"","D-loop",7,"316",0.95,0.03893,0.00512,0.00148,"mtdna102",14
"100","Amphiprion melanopus","Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Fiji","Central Fiji",-17.3,178.9,NA,"","control region",36,"384",NA,NA,0.02,0.001666667,"mtdna101",12
"101","Amphiprion melanopus","Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Papua New Guinea","Milne Bay",-9.02,149.15,NA,"","control region",26,"384",NA,NA,0.021,0.001961161,"mtdna101",12
"102","Amphiprion melanopus","Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Solomon Islands","Nudha Islands",-9.5,160.8,NA,"","control region",11,"384",NA,NA,0.02,0.003015113,"mtdna101",12
"103","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","Mexico","SQ",30.4416666666667,-116.430833333333,NA,"","cytochrome c oxidase subunit I",15,"353",0.371,0.03950443,0.0015,0.000180739,"mtdna101",120
"104","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","BS",56.0846111111111,-173.034758333333,"SABLEFEBSAIGA","","cytochrome c oxidase subunit I",15,"353",0.467,0.038213436,0.00146,0.000136845,"mtdna101",120
"105","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","GA",54.0359444444444,-134.000183333333,"SABLEFEBSAIGA","","cytochrome c oxidase subunit I",14,"353",0.758,0.031002304,0.0027,0.000160357,"mtdna101",120
"106","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","OR",45.8355555555556,-124.801666666667,"SABLEFPCOAST","","cytochrome c oxidase subunit I",13,"353",0.5,0.037719613,0.0015,0.00011094,"mtdna101",120
"107","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Apalachicola",29.718192,-84.9814,NA,"1999","control region",60,"470",NA,NA,0.04,NA,"mtdna102",91
"108","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Cedar Keys",29.135342,-83.042618,NA,"1998","control region",33,"470",NA,NA,0.039,NA,"mtdna102",91
"109","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Charleston",32.76209,-79.886029,NA,"2001","control region",23,"470",NA,NA,0.032,NA,"mtdna102",91
"110","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Corpus Christi",27.799609,-97.330457,NA,"1999","control region",31,"470",NA,NA,0.04,NA,"mtdna102",91
"111","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Florida Bay",25.037202,-80.725444,NA,"1996","control region",30,"470",NA,NA,0.043,NA,"mtdna102",91
"112","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Fort Walton",30.426693,-86.583054,NA,"1997","control region",25,"470",NA,NA,0.034,NA,"mtdna102",91
"113","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Indian River",27.691957,-80.351466,NA,"1999","control region",36,"470",NA,NA,0.034,NA,"mtdna102",91
"114","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Morehead City",34.715791,-76.72042,NA,"1999","control region",36,"470",NA,NA,0.033,NA,"mtdna102",91
"115","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","St. Johns River",30.40297,-81.395411,NA,"2001","control region",29,"470",NA,NA,0.031,NA,"mtdna102",91
"116","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","St. Simmons & Cumberland Islands",31.001457,-81.3979225,NA,"1998","control region",31,"470",NA,NA,0.031,NA,"mtdna102",91
"117","Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Steinhatchee",29.67132,-83.392316,NA,"1999","control region",28,"470",NA,NA,0.042,NA,"mtdna102",91
