"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise"
"307","Dicentrarchus labrax","Common sea bass","Lemaire, Versini & Bonhomme 2005","Morocco","MNAD",35.21,-3,NA,"1997-2002","cytb",9,304,0.69,NA,0.01,NA
"308","Dicentrarchus labrax","Common sea bass","Lemaire, Versini & Bonhomme 2005","Morocco","MRBT",33.431,-5.86555555555556,NA,"1997-2002","cytb",35,304,0.44,NA,0.005,NA
"309","Dicentrarchus labrax","Common sea bass","Lemaire, Versini & Bonhomme 2005","Portugal","PAVR",40.98,-7.89861111111111,NA,"1997-2002","cytb",48,304,0.37,NA,0.005,NA
"310","Dicentrarchus labrax","Common sea bass","Lemaire, Versini & Bonhomme 2005","Spain","EMAM",37.579,0.134166666666667,NA,"1997-2002","cytb",32,304,0.06,NA,2e-04,NA
"311","Dicentrarchus labrax","Common sea bass","Lemaire, Versini & Bonhomme 2005","Tunisia","TBIZ",37.23,9.135,NA,"1997-2002","cytb",29,304,0.31,NA,0.003,NA
"312","Dicentrarchus labrax","Common sea bass","Lemaire, Versini & Bonhomme 2005","Tunisia","TGOU",36.739,10.0333333333333,NA,"1997-2002","cytb",27,304,0.07,NA,3e-04,NA
"313","Dicentrarchus labrax","Common sea bass","Lemaire, Versini & Bonhomme 2005","Tunisia","TISK",37.16,9.10166666666667,NA,"1997-2002","cytb",38,304,0.15,NA,6e-04,NA
"314","Diplodus sargus","White seabream ","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Bizerta",37.544577,9.686279,NA,"","cytb",19,671,0.578,NA,0.001,NA
"315","Diplodus sargus","White seabream ","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","El Biban Lagoon",34.052659,10.389404,NA,"","cytb",7,671,0.952,NA,0.0024,NA
"316","Diplodus sargus","White seabream ","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Gabes Gulf",34.288992,10.323486,NA,"","cytb",7,671,0.857,NA,0.0017,NA
"317","Diplodus sargus","White seabream ","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Ghar Melh Lagoon",36.949892,10.389404,NA,"","cytb",8,671,0.785,NA,0.0018,NA
"318","Diplodus sargus","White seabream ","Kaoueche et al. 2013. African Journal of Marine Science","Mediterranian Sea","Mahdia",35.675147,11.114502,NA,"","cytb",25,671,0.77,NA,0.0017,NA
"319","Diplodus sargus","White seabream ","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","France ","Banyuls",42.6,3.1758,NA,"2006.5","cytb",22,661,0.5513,NA,0.0021,NA
"320","Diplodus sargus","White seabream ","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Portugal ","Quarteira ",37.0628,-8.1064,NA,"2006.5","cytb",25,661,0.5524,NA,9e-04,NA
"321","Diplodus sargus","White seabream ","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Portugal ","Ria Formosa ",37.0276,-7.8183,NA,"2006.5","cytb",24,661,0.7572,NA,0.0045,NA
"322","Diplodus sargus","White seabream ","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Spain ","Galicia ",43.2277,-9.218,NA,"2006.5","cytb",24,661,0.5507,NA,0.0011,NA
"323","Diplodus sargus","White seabream ","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Spain ","Mar Menor ",37.6909,-0.8237,NA,"2006.5","cytb",22,661,0.8528,NA,0.0021,NA
"324","Diplodus sargus","White seabream ","Gonzalez-Wanguemert & Perez-Ruzafa 2012 Marine Ecology 33:337-349","Spain ","Murica ",37.6409,-0.6912,NA,"2006.5","cytb",25,661,0.5604,NA,0.0016,NA
"325","Diplodus sargus","White seabream ","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Italy ","Castellamare ",38.3275,12.5785,NA,"2004.5","control region",20,410,1,NA,0.0176,NA
"326","Diplodus sargus","White seabream ","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Portugal ","Azores ",37.8115,-24.1,NA,"2004.5","control region",20,410,0.9766,NA,0.023,NA
"327","Diplodus sargus","White seabream ","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Portugal ","Faro",37.0163,-8.2477,NA,"2004.5","control region",20,410,1,NA,0.0234,NA
"328","Diplodus sargus","White seabream ","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Spain ","Canary Islands ",28.9792,-15.0897,NA,"2004.5","control region",20,410,0.9872,NA,0.0247,NA
"329","Diplodus sargus","White seabream ","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Spain ","Mallorca ",39.1933,3.027,NA,"2004.5","control region",22,410,0.9926,NA,0.0218,NA
"330","Diplodus sargus","White seabream ","Gonzalez-Wanguemert et al. 2011 Marine Biology Research 7:250-260","Tunisia ","Tunisia ",37.2652,10.7308,NA,"2004.5","control region",22,410,1,NA,0.0271,NA
"331","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Canal Beagle",-54.8134,-68.2944,NA,"","cytb",36,833,0.88,NA,0.0038,NA
"332","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Puerto Madryn",-42.761,-65.0197,NA,"","cytb",27,833,0.96,NA,0.0054,NA
"333","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Puerto San Juliíçn",-49.3224,-67.7192,NA,"","cytb",24,833,0.86,NA,0.0035,NA
"334","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Punta Marí_a ",-53.772,-67.683,NA,"","cytb",38,833,0.87,NA,0.0036,NA
"335","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","Rada Tilly",-42.7584,-65.0314,NA,"","cytb",25,833,0.89,NA,0.0026,NA
"336","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Argentina ","San Antonio Oeste (SAO)",-40.7757,-64.9755,NA,"","cytb",25,833,0.9,NA,0.0047,NA
"337","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Concepcií_n ",-36.7077,-73.0692,NA,"","cytb",27,833,0.9,NA,0.0032,NA
"338","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Puerto Aysí©n ",-45.4552,-74.6231,NA,"","cytb",31,833,0.91,NA,0.0042,NA
"339","Eleginops maclovinus","Patagonian blennie ","Ceballos et al. 2012 Marine Biology 159:499-505","Chile ","Puerto Montt",-41.5456,-72.9113,NA,"","cytb",28,833,0.87,NA,0.0039,NA
"340","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Basque Country)",44.2,-2.54,"ANCHOBAYB","2009","16S",19,503,0.7018,0.0805,0.005022,NA
"341","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Basque Country)",44.2,-2.54,"ANCHOBAYB","2009","cytb",17,524,0.9706,0.0323,0.0158,NA
"342","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Getaria Coast)",44,-2.6,"ANCHOBAYB","2009","16S",11,503,0.8727,0.0891,0.005639,NA
"343","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","East Cantabrian Sea (Getaria Coast)",44,-2.6,"ANCHOBAYB","2009","cytb",12,524,0.8485,0.012723,0.012723,NA
"344","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea",43.47,-4.01,"ANCHOBAYB","2009","16S",40,503,0.5308,0.0891,0.003747,NA
"345","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea",43.47,-4.01,"ANCHOBAYB","2009","cytb",39,524,0.726,0.0703,0.011935,NA
"346","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea (Valdearenas)",43.44,-3.97,"ANCHOBAYB","2009","cytb",20,524,0.9474,0.00344,0.016181,NA
"347","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Bay of Biscay","West Cantabrian Sea (Valdearenas)",43.44,-3.97,"ANCHOBAYB","2009","16S",20,503,0.7421,0.0705,0.005159,NA
"348","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","France","North Nantes",47,-2.5,"ANCHOBAYB","2009","16S",31,503,0.7484,0.0577,0.005481,NA
"349","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","France","North Nantes",47,-2.5,"ANCHOBAYB","2009","cytb",31,524,0.9484,0.0246,0.016383,NA
"350","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Mediterranean","The Adriatic Sea",43.03,16.13,NA,"2009","cytb",20,524,0.9842,0.0205,0.014132,NA
"351","Engraulis encrasicolus","European Anchovy","Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371","Mediterranean","The Adriatic Sea",43.03,16.13,NA,"2009","16S",20,503,0.7579,0.0811,0.004824,NA
"352","Engraulis encrasicolus","European anchovy","Keskin et al. 2012 Mitochondrial DNA 23(2):62-69","Atlantic Ocean","Aegean Sea",38.112959,26.142927,NA,"","cytochrome c oxidase subunit I",251,655,0.8422,NA,NA,NA
"353","Engraulis encrasicolus","European anchovy","Keskin et al. 2012 Mitochondrial DNA 23(2):62-69","Atlantic Ocean","Black Sea",41.289294,35.332304,NA,"","cytochrome c oxidase subunit I",384,655,0.8422,NA,NA,NA
"354","Engraulis encrasicolus","European anchovy","Keskin et al. 2012 Mitochondrial DNA 23(2):62-69","Atlantic Ocean","Marmara Sea",40.002102,26.062464,NA,"","cytochrome c oxidase subunit I",202,655,0.8422,NA,NA,NA
"355","Engraulis encrasicolus","European anchovy","Keskin et al. 2012 Mitochondrial DNA 23(2):62-69","Atlantic Ocean","Mediterranean Sea",36.100049,33.8202825,NA,"","cytochrome c oxidase subunit I",253,655,0.8422,NA,NA,NA
"356","Engraulis japonicus","Japanese anchovy","Chen et al. 2010 Zoological Studies 49: 270-282 ","Taiwan","Autumn Taiwan",24.1333333333333,121.133333333333,NA,"2001","cytb",45,740,0.999,NA,0.0144,NA
"357","Engraulis japonicus","Japanese anchovy","Chen et al. 2010 Zoological Studies 49: 270-282 ","Taiwan","Taiwan Strait",25.0333333333333,121.05,NA,"2001","cytb",44,740,1,NA,0.013,NA
"358","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","China","East China Sea, E8-3",32.704289,125.695634,"JANCHOTSST","2001","control region",22,522,1,NA,0.011,NA
"359","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","China","F4",30.486733,122.817216,NA,"2001","control region",20,522,0.99,NA,0.009,NA
"360","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","China","J1",26.185208,120.323319,NA,"2001","control region",20,522,1,NA,0.01,NA
"361","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","China","Yellow Sea, L3",36.421453,121.784501,NA,"2001","control region",17,522,1,NA,0.009,NA
"362","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","China","Yellow Sea, PT4",35.71547,122.410722,NA,"2001","control region",16,522,1,NA,0.008,NA
"363","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Anamizu, Ishikawa",37.206434,137.18488,NA,"1997","control region",18,522,1,NA,0.01,NA
"364","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Kagoshima Bay",31.440283,130.635393,"JANCHOPJPN","1997","control region",18,522,1,NA,0.01,NA
"365","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Kosasa, Nagasaki",32.887852,129.43681,"JANCHOTSST","1996","control region",18,522,1,NA,0.01,NA
"366","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Miura Kanagawa",35.111632,139.653792,"JANCHOPJPN","1997","control region",18,522,1,NA,0.009,NA
"367","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Mugi, Tokushima",33.652868,134.45542,"JANCHOPJPN","1997","control region",18,522,1,NA,0.01,NA
"368","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Mutsu Bay",41.007148,141.106946,"JANCHOPJPN","1997","control region",18,522,1,NA,0.009,NA
"369","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Teuri Island",44.400754,141.315284,NA,"2005","control region",20,522,0.99,NA,0.01,NA
"370","Engraulis japonicus","Japanese anchovy","Liu et al. 2006","Japan","Utatsu, Miyagi",38.68513,141.589825,"JANCHOPJPN","1997","control region",18,522,1,NA,0.01,NA
"371","Engraulis japonicus","Japanese anchovy","Yu et al. 2005","China","Q1 - center-south of Yellow Sea",35.461,122.4,NA,"","cytb",15,420,0.962,NA,0.744,NA
"372","Engraulis japonicus","Japanese anchovy","Yu et al. 2005","China","Q1 - center-south of Yellow Sea",35.461,122.4,NA,"","cytochrome c oxidase subunit I",14,616,0.934,NA,0.519,NA
"373","Engraulis japonicus","Japanese anchovy","Yu et al. 2005","China","Q2 - northeast East China Sea",32.436,125,"JANCHOTSST","","cytb",16,420,0.95,NA,0.589,NA
"374","Engraulis japonicus","Japanese anchovy","Yu et al. 2005","China","Q2 - northeast East China Sea",32.436,125,"JANCHOTSST","","cytochrome c oxidase subunit I",15,616,0.981,NA,0.532,NA
"375","Engraulis japonicus","Japanese anchovy","Yu et al. 2005","China","Q3 - southwest East China Sea",26.549,121.5,NA,"","cytb",15,420,0.981,NA,0.603,NA
"376","Engraulis japonicus","Japanese anchovy","Yu et al. 2005","China","Q3 - southwest East China Sea",26.549,121.5,NA,"","cytochrome c oxidase subunit I",15,616,0.971,NA,0.832,NA
"377","Epinephelus akaara","Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","DYW",22.06,114.3,NA,"2001","control region",5,331,0.9,0.071554175,0.007,0.002683282
"378","Epinephelus akaara","Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","PT",25.9,119.8,NA,"2001","control region",15,331,0.89,0.018073922,0.008,0.001290994
"379","Epinephelus akaara","Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","SY",17.6,108.96,NA,"1999","control region",14,331,1,0.008017837,0.012,0.001870829
"380","Epinephelus akaara","Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","XM",24.3,118.5,NA,"2001","control region",10,331,0.98,0.015811388,0.017,0.003162278
"381","Epinephelus akaara","Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","ZJ",20.86,111.03,NA,"2000","control region",15,331,0.93,0.012909944,0.01,0.001549193
"382","Epinephelus akaara","Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","ZL",23.4,117.3,NA,"2001","control region",13,331,0.72,0.036055513,0.006,0.0011094
"383","Epinephelus akaara","Hong Kong grouper","Chen et. al 2008 African Journal of Biotechnology 7(20):3554-3562","China","ZS",29.8,122.4,NA,"1998","control region",15,331,0.94,0.010327956,0.011,0.001549193
"384","Epinephelus itajara","Atlantic goliath grouper","Craig et. al 2008 Endangered Species Research Preprint 1-8","Belize","Belize",16.1,-88.8,NA,"","16S",24,590,0.083,NA,1e-04,NA
"385","Epinephelus itajara","Atlantic goliath grouper","Craig et. al 2008 Endangered Species Research Preprint 1-8","Brazil","Brazil",-17.7,-39.2,NA,"","16S",20,590,0,NA,0,NA
"386","Epinephelus itajara","Atlantic goliath grouper","Craig et. al 2008 Endangered Species Research Preprint 1-8","Panama","Panama",8.98333333333333,-78.4833333333333,NA,"","16S",25,590,0.156,NA,5e-04,NA
"387","Epinephelus itajara","Atlantic goliath grouper","Craig et. al 2008 Endangered Species Research Preprint 1-8","USA","Florida",25.9166666666667,-80.3666666666667,NA,"","16S",30,590,0.303,NA,6e-04,NA
"388","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Kavaratti",10.34,72.37,NA,"2008","D-loop",50,500,0.9355,NA,NA,NA
"389","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Kochi",9.58,76.16,NA,"2008","D-loop",50,500,0.9061,NA,NA,NA
"390","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Pondicherry",11.56,79.5,NA,"2008","D-loop",50,500,0.951,NA,NA,NA
"391","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Port-Blair",11.4,92.46,NA,"2008","D-loop",50,500,0.9192,NA,NA,NA
"392","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Ratnagiri",16.59,73.18,NA,"2008","D-loop",50,500,0.8686,NA,NA,NA
"393","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Tuticorin",8.49,78.08,NA,"2009","D-loop",50,500,0.9722,NA,NA,NA
"394","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Verval",20.54,70.22,NA,"2007","D-loop",50,500,0.9167,NA,NA,NA
"395","Euthynnus affinis","Kawakawa","Kumar et al. 2012 Conservation Genetics 13:1119-1131","Indian Ocean","Vizag",17.42,83.15,NA,"2009","D-loop",50,500,0.9478,NA,NA,NA
"396","Euthynnus affinis","Kawakawa","Santos et. al Philippine Journal of Science 2010 139(1):43-50","Malaysia","PM",4.23,100.52,NA,"1999","control region",10,300,0.93,0.025298221,0.0517,NA
"397","Euthynnus affinis","Kawakawa","Santos et. al Philippine Journal of Science 2010 139(1):43-50","Phillipines","AC",18.4,121.6,NA,"1998","control region",7,300,0.67,0.060474316,0.0124,NA
"398","Euthynnus affinis","Kawakawa","Santos et. al Philippine Journal of Science 2010 139(1):43-50","Phillipines","DG",6.74,125.6,NA,"1997","control region",7,300,1,0.030237158,0.0419,NA
"399","Euthynnus affinis","Kawakawa","Santos et. al Philippine Journal of Science 2010 139(1):43-50","Phillipines","M",10.1,118.5,NA,"1997","control region",6,300,0.8,0.073484692,0.0213,NA
"400","Euthynnus affinis","Kawakawa","Santos et. al Philippine Journal of Science 2010 139(1):43-50","Phillipines","OC",8.55,124.6,NA,"1997","control region",8,300,0.89,0.038890873,0.0261,NA
"401","Euthynnus affinis","Kawakawa","Santos et. al Philippine Journal of Science 2010 139(1):43-50","Phillipines","TS",5.4,119.9,NA,"1997","control region",7,300,0.86,0.052915026,0.0214,NA
"402","Eviota albolineata","Spotted fringefin goby ","Farnsworth et al. 2010 Marine Biology 157:945-953 ","Australia ","Hicks Reef & Day Reef ",-14,145,NA,"","COI",41,392,0.92,NA,0.009,0.0052
"403","Eviota albolineata","Spotted fringefin goby ","Farnsworth et al. 2010 Marine Biology 157:945-953 ","Australia ","North Direction Island & Lizard Island ",-14,145,NA,"","COI",39,392,0.95,NA,0.0105,0.0059
"404","Eviota queenslandica","Queensland dwarfgoby ","Farnsworth et al. 2010 Marine Biology 157:945-953 ","Australia ","Martin Reef & Linnet Reef ",-14,145,NA,"","COI",13,408,0.91,NA,0.0101,0.0033
"405","Eviota queenslandica","Queensland dwarfgoby ","Farnsworth et al. 2010 Marine Biology 157:945-953 ","Australia ","North Direction Island & Lizard Island ",-14,145,NA,"","COI",21,408,0.76,NA,0.017,0.0043
"406","Fistularia commersonii","Bluespotted cornetfish","Golani et. al 2007 Biology Letters 3:541-545","Egypt","MAL",26.6,34.02,NA,"2005","control region",15,390,0.99,NA,NA,NA
"407","Fistularia commersonii","Bluespotted cornetfish","Golani et. al 2007 Biology Letters 3:541-545","Greece","RHO",35.96,27.61,NA,"2005","control region",21,390,0.181,NA,NA,NA
"408","Fistularia commersonii","Bluespotted cornetfish","Golani et. al 2007 Biology Letters 3:541-545","Israel","EIL",29.44,34.92,NA,"2005","control region",29,390,0.998,NA,NA,NA
"409","Fistularia commersonii","Bluespotted cornetfish","Golani et. al 2007 Biology Letters 3:541-545","Israel","HAI",32.5,34.81,NA,"2005","control region",12,390,0,NA,NA,NA
"410","Fistularia commersonii","Bluespotted cornetfish","Golani et. al 2007 Biology Letters 3:541-545","Italy","LAM",35.38,12.43,NA,"2005","control region",12,390,0.6,NA,NA,NA
"411","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Bluff",-45.4166666666667,168.333333333333,NA,"","control region",10,400,0.2,0.154,0.001,0.001
"412","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Catlins",-45.6333333333333,169.783333333333,NA,"","control region",13,400,0.628,0.143,0.007,0.005
"413","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Doubtful Sound. Fiordland",-44.7666666666667,166.85,NA,"","control region",23,400,0.609,0.103,0.006,0.004
"414","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Great Barrier Is",-35.8333333333333,175.333333333333,NA,"","control region",10,400,0.949,0.051,0.011,0.007
"415","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Hauraki Gulf",-34.1,175.083333333333,NA,"","control region",28,400,0.977,0.016,0.014,0.008
"416","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Kaikoura",-41.6,173.7,NA,"","control region",11,400,0.727,0.144,0.009,0.006
"417","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Kaipara",-35.75,174.233333333333,NA,"","control region",4,400,1,0.177,0.015,0.011
"418","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Napier",-38.5333333333333,176.883333333333,NA,"","control region",12,400,0.924,0.058,0.008,0.005
"419","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","New Plysmouth",-38.95,174.566666666667,NA,"","control region",8,400,0.929,0.084,0.007,0.005
"420","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Otago",-44.1833333333333,170.65,NA,"","control region",11,400,0.346,0.172,0.002,0.002
"421","Forsterygion lapillum","Common triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Wellington",-40.9166666666667,174.85,NA,"","control region",8,400,0.929,0.084,0.007,0.005
"422","Forsterygion varium","Striped triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Bluff",-45.4166666666667,168.333333333333,NA,"","control region",15,400,0.838,0.085,0.019,0.01
"423","Forsterygion varium","Striped triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Doubtful Sound. Fiordland",-44.7666666666667,166.85,NA,"","control region",10,400,0.933,0.062,0.019,0.011
"424","Forsterygion varium","Striped triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Great Barrier Is",-35.8333333333333,175.333333333333,NA,"","control region",18,400,0.974,0.029,0.019,0.011
"425","Forsterygion varium","Striped triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Hauraki Gulf",-34.1,175.083333333333,NA,"","control region",16,400,0.925,0.05,0.018,0.01
"426","Forsterygion varium","Striped triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Otago",-44.1833333333333,170.65,NA,"","control region",19,400,0.805,0.09,0.018,0.01
"427","Forsterygion varium","Striped triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Three Kings",-33.8666666666667,172.133333333333,NA,"","control region",33,400,0.618,0.081,0.012,0.007
"428","Forsterygion varium","Striped triplefin","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Wellington",-40.9166666666667,174.85,NA,"","control region",6,400,0.933,0.121,0.015,0.009
"429","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","Canada","Hecate Strait",53.0175,-129.914722222222,"PCODHS","2004","ND2/Cytb",34,1509,0.9679,NA,0.004,NA
"430","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","Japan","Sea of Okhotsk",44.0333333333333,135.083888888889,NA,"2005","ND2/Cytb",34,1509,0.9768,NA,0.003,NA
"431","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","Korea","East China Sea",38.0858333333333,128.067222222222,NA,"2005","ND2/Cytb",34,1509,0.9234,NA,0.003,NA
"432","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Adak Island (AK)",51.0666666666667,-175.948333333333,"PCODBSAI","2006","ND2/Cytb",36,1509,0.9397,NA,0.004,NA
"433","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Coastal Washington",47.0847222222222,-124.949166666667,NA,"2005","ND2/Cytb",37,1509,0.9745,NA,0.003,NA
"434","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Kodiak Island (AK)",57.0688888888889,-151.949722222222,"PCODGA","2003","ND2/Cytb",33,1509,0.9773,NA,0.004,NA
"435","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Near Islands (AK)",52.0502777777778,173.083888888889,"PCODBSAI","2006","ND2/Cytb",36,1509,0.9841,NA,0.004,NA
"436","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Puget Sound",47.0513888888889,-121.95,NA,"2006","ND2/Cytb",32,1509,0.9456,NA,0.004,NA
"437","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Strait of Georgia",48.0844444444444,-122.998333333333,"PCODWCVANI","2003","ND2/Cytb",35,1509,0.9529,NA,0.004,NA
"438","Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Unimak Pass (AK)",54.0522222222222,-167.983333333333,"PCODBSAI","2003","ND2/Cytb",35,1509,0.9328,NA,0.003,NA
"439","Gadus macrocephalus","Pacific cod","Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ","Northwestern Pacific Ocean ","Aleutian Island",50,180,"PCODBSAI","2005","control region",21,452,0.49,NA,0.099,NA
"440","Gadus macrocephalus","Pacific cod","Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ","Northwestern Pacific Ocean ","Eastern Hokkaido",43,140,NA,"2004","control region",44,452,0.59,NA,0.069,NA
"441","Gadus macrocephalus","Pacific cod","Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ","Northwestern Pacific Ocean ","Gulf of Georgia",46,130,NA,"2003","control region",20,452,0.42,NA,0.022,NA
