spp,CommonName,Source,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise
Myripristis jacobus,Blackbar soldierfish,Bowen et al. 2006 Marine Biology 149:899-913,Brazil,Brazil,-9.406,,,-33.756674,,,1990-1997,cytochrome b,10,744,0.378,,0.001,
Myripristis jacobus,Blackbar soldierfish,Bowen et al. 2006 Marine Biology 149:899-913,Britain,Ascension,-7.929,,,-14.197362,,,1990-1997,cytochrome b,13,744,0.615,,0.002,
Myripristis jacobus,Blackbar soldierfish,Bowen et al. 2006 Marine Biology 149:899-913,Sao Tome and Principe,Sao Tome,0.324,,,6.860847,,,1990-1997,cytochrome b,20,744,0.758,,0.003,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,USA,Florida,25.086,,,-81.841437,,,1990-1997,cytochrome b,7,769,1,,0.005,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,US Virgin Islands,St. Croix,17.7,,,-65.021281,,,1990-1997,cytochrome b,6,769,1,,0.005,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,Belize,Belize,17.791,,,-87.762276,,,1990-1997,cytochrome b,8,769,1,,0.006,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,Panama,Panama,9.211,,,-81.116107,,,1990-1997,cytochrome b,6,769,1,,0.007,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,Brazil,Brazil,-9.406,,,-33.756674,,,1990-1997,cytochrome b,20,769,0.979,,0.006,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,Britain,Ascension,-7.929,,,-14.197362,,,1990-1997,cytochrome b,20,769,0.947,,0.005,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,Britain,St. Helena,-16.088,,,-5.565104,,,1990-1997,cytochrome b,17,769,0.956,,0.006,
Holocentrus ascensionis,Squirrelfish,Bowen et al. 2006 Marine Biology 149:899-913,Sao Tome and Principe,Sao Tome,0.324,,,6.860847,,,1990-1997,cytochrome b,17,769,0.868,,0.006,
Xiphias gladius,swordfish,"Bremer, Mejuto et al. 1999",USA,"Georges Banks, NW Atlantic",42.056454,,,-68.31162,,,,control region,45,330,,,0.024745,
Xiphias gladius,swordfish,"Bremer, Mejuto et al. 1999",Cuba,"Caribbean, NW Atlantic",20.499781,,,-73.987238,,,,control region,16,330,,,0.02455,
Xiphias gladius,swordfish,"Bremer, Mejuto et al. 1999",Nigeria,"Gulf of Guinea, South Atlantic",-0.745961,,,-4.787142,,,,control region,83,330,,,0.032048,
Xiphias gladius,swordfish,"Bremer, Mejuto et al. 1999",Uruguay,"Brazil-Uruguay, South Atlantic",-33.431,,,-36,,,,control region,95,330,,,0.027678,
Xiphias gladius,swordfish,"Bremer, Mejuto et al. 1999",Madagascar,Indian Ocean,-22.15,,,39.4,,,,control region,48,330,,,0.032221,
Xiphias gladius,swordfish,"Bremer, Mejuto et al. 1999",USA,"Hawaii, North Pacific",24.9,,,-148,,,,control region,29,330,,,0.029966,
Xiphias gladius,swordfish,"Bremer, Mejuto et al. 1999",Greece,"Ionian Sea, Mediterranean",36.6,,,18.5,,,,control region,81,330,,,0.017917,
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Western Australia,-20,,,120,,,,control region,19,384,0.9474,0.0379,0.014,0.008
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Northern Territory,-13,,,128,,,,control region,57,384,0.8885,0.0354,,0.0063
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Northern Territory,-14,,,135,,,,control region,26,384,0.7508,0.0893,,0.0052
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Northern Territory,-15,,,138,,,,control region,21,384,0.9143,0.0488,0.012,0.007
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-16,,,139,,,,control region,19,384,0.9143,0.0488,0.0097,0.0058
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-17,,,140,,,,control region,21,384,0.8095,0.0801,0.0083,0.0051
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-15,,,141,,,,control region,45,384,0.7172,0.0754,0.0074,0.0045
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-11,,,141,,,,control region,22,384,0.8009,0.0879,0.0061,0.0039
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-16,,,146,,,,control region,43,384,0.6633,0.083,0.0052,0.0034
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-17,,,146,,,,control region,17,384,0.8015,0.0812,0.0092,0.0056
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-18,,,147,,,,control region,36,384,0.727,0.0835,0.0063,0.004
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-20,,,149,,,,control region,27,384,0.7835,0.0721,0.0076,0.0046
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Western Australia,-20,,,120,,,,ATPase,19,800,0.7544,0.0559,0.002,0.0014
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Northern Territory,-13,,,128,,,,ATPase,57,800,0.7343,0.0568,0.002,0.001
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Northern Territory,-14,,,135,,,,ATPase,26,800,0.5015,0.1047,0.0015,0.0011
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Northern Territory,-15,,,138,,,,ATPase,21,800,0.6571,0.0658,0.0015,0.0011
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-16,,,139,,,,ATPase,19,800,0.6433,0.1061,0.0016,0.0012
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-17,,,140,,,,ATPase,21,800,0.6667,0.1073,0.0018,0.0012
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-15,,,141,,,,ATPase,45,800,0.6606,0.0703,0.0015,0.0011
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Gulf of Carpentaria (Queensland Coast),-11,,,141,,,,ATPase,22,800,0.4675,0.1228,0.0011,0.0009
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-16,,,146,,,,ATPase,43,800,0.2946,0.0868,0.0008,0.0007
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-17,,,146,,,,ATPase,17,800,0.6912,0.1025,0.0018,0.0013
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-18,,,147,,,,ATPase,36,800,0.5444,0.0937,0.0012,0.001
Scomberomorus semifasciatus,Broad-barred king mackerel,Broderick et al. 2011 Journal of Fish Biology 79:633-661,Australia,Eastern Coast of Queensland,-20,,,149,,,,ATPase,27,800,0.6382,0.0985,0.0016,0.0012
Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360-368,Ireland,Southern Ireland,50,,,-10,,,2001,control region,34,438,0.8556,0.0588,0.0045,
Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360-368,France,Western Coast,46,,,-5,,,2001,control region,30,438,0.8391,0.065,0.0043,
Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360-368,Spain,Cantabric Sea,44,,,-6,,,2001,control region,35,438,0.805,0.0642,0.0034,
Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360-368,Portugal,Atlantic,39,,,-10,,,2001,control region,34,438,0.9091,0.0412,0.0046,
Lepidorhombus boscii,Four-spotted megrim,Campo & Garcia-Vazquez. 2010 Journal of Sea Research 64:360-368,Mediterranean,Aegean Sea,37.8,,,25.4,,,2001,control region,30,438,0.7379,0.0686,0.0026,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,Korea,East China Sea,38,5,9,128,4,2,2005, ND2/Cytb,34,1509,0.9234,,0.003,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,Japan,Sea of Okhotsk,44,2,0,135,5,2,2005, ND2/Cytb,34,1509,0.9768,,0.003,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,USA,Near Islands (AK),52,3,1,173,5,2,2006, ND2/Cytb,36,1509,0.9841,,0.004,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,USA,Adak Island (AK),51,4,0,-176,3,6,2006, ND2/Cytb,36,1509,0.9397,,0.004,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,USA,Unimak Pass (AK),54,3,8,-168,1,0,2003, ND2/Cytb,35,1509,0.9328,,0.003,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,USA,Kodiak Island (AK),57,4,8,-152,3,1,2003, ND2/Cytb,33,1509,0.9773,,0.004,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,Canada,Hecate Strait,53,1,3,-130,5,7,2004, ND2/Cytb,34,1509,0.9679,,0.004,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,USA,Coastal Washington,47,5,5,-125,3,3,2005, ND2/Cytb,37,1509,0.9745,,0.003,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,USA,Strait of Georgia,48,5,4,-123,0,6,2003, ND2/Cytb,35,1509,0.9529,,0.004,
Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339-4351,USA,Puget Sound,47,3,5,-122,3,0,2006, ND2/Cytb,32,1509,0.9456,,0.004,
Gadus morhua,Atlantic cod,Carr et al. 1995,Canada,Northern Grand Banks,48.8,,,-51,,,1988,cytochrome b,21,307,0.1812,,0.001494,
Gadus morhua,Atlantic cod,Carr et al. 1995,Canada,"Flatrock , east coast of Avalon Peninsula north of St. John's",47.695,,,-52.67,3,8,1989,cytochrome b,88,307,0.3457,,0.001591,
Gadus morhua,Atlantic cod,Carr et al. 1995,Canada,"Chance Cove, inner part of Trinity Bay",47.665,,,-53,8,1,1990,cytochrome b,47,307,0.2379,,0.0011,
Gadus morhua,Atlantic cod,Carr et al. 1995,Canada,"Random Island, west side of Trinity Bay",48.173,,,-53,7,3,1991,cytochrome b,47,307,0.2745,,0.0011,
Gadus morhua,Atlantic cod,Carr et al. 1995,Canada,"Heart's Ease Ledge, near Random Island",48,,,-53,,,1993,cytochrome b,33,307,0.2275,,0.001104,
Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,USA,St. Croix,17.725,,,-64.97,,,2008,ND4,27,590,0.835,,0.003,
Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,USA,St. Thomas,18.269149,,,-64.968369,,,2008,ND4,26,590,0.818,,0.004,
Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,USA,Puerto Rico-East,18.285333,,,-65.560956,,,2008,ND4,29,590,0.873,,0.004,
Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,USA,Puerto Rico-West,18.196788,,,-67.317098,,,2008,ND4,25,590,0.818,,0.004,
Lutjanus analis,Mutton snapper,Carson et al. 2011 Fishery Bulletin 109:416-428,USA,Florida Keys,24.628389,,,-81.94968,,,2008,ND4,27,590,0.835,,0.003,
Sphyrna lewini,Scalloped hammerhead shark,Castillo-Olguin et al. 2012 Ciencias Marinas 38(4):635-652,Mexico,Sinaloa,23,3,1,-106,4,3,2002,control region,42,1000,0.415,,0.007,
Sphyrna lewini,Scalloped hammerhead shark,Castillo-Olguin et al. 2012 Ciencias Marinas 38(4):635-652,Mexico,Nayarit,21,3,2,-105,2,5,2002,control region,30,,0.44,,0.002,
Sphyrna lewini,Scalloped hammerhead shark,Castillo-Olguin et al. 2012 Ciencias Marinas 38(4):635-652,Mexico,Michoacíçn,17,5,3,-102,1,0,2002,control region,20,,0.38,,0.002,
Eleginops maclovinus ,Patagonian blennie ,Ceballos et al. 2012 Marine Biology 159:499-505,Argentina ,San Antonio Oeste (SAO),-40.7757,,,-64.9755,,,,cytochrome b ,25,833,0.9,,0.0047,
Eleginops maclovinus ,Patagonian blennie ,Ceballos et al. 2012 Marine Biology 159:499-505,Argentina ,Puerto Madryn,-42.761,,,-65.0197,,,,cytochrome b ,27,833,0.96,,0.0054,
Eleginops maclovinus ,Patagonian blennie ,Ceballos et al. 2012 Marine Biology 159:499-505,Argentina ,Rada Tilly,-42.7584,,,-65.0314,,,,cytochrome b ,25,833,0.89,,0.0026,
Eleginops maclovinus ,Patagonian blennie ,Ceballos et al. 2012 Marine Biology 159:499-505,Argentina ,Punta Marí_a ,-53.772,,,-67.683,,,,cytochrome b ,38,833,0.87,,0.0036,
Eleginops maclovinus ,Patagonian blennie ,Ceballos et al. 2012 Marine Biology 159:499-505,Argentina ,Puerto San Juliíçn,-49.3224,,,-67.7192,,,,cytochrome b ,24,833,0.86,,0.0035,
Eleginops maclovinus ,Patagonian blennie ,Ceballos et al. 2012 Marine Biology 159:499-505,Argentina ,Canal Beagle,-54.8134,,,-68.2944,,,,cytochrome b ,36,833,0.88,,0.0038,
Eleginops maclovinus ,Patagonian blennie ,Ceballos et al. 2012 Marine Biology 159:499-505,Chile ,Puerto Aysí©n ,-45.4552,,,-74.6231,,,,cytochrome b ,31,833,0.91,,0.0042,
